Timestamp,Source
1784205726904,Front
1784205726937,Front
1784205726970,Front
1784205727004,Front
1784205727037,Front
1784205727070,Front
1784205727104,Front
1784205727137,Front
1784205727170,Front
1784205727204,Front
1784205727237,Front
1784205727270,Front
1784205727304,Front
1784205727337,Front
1784205727370,Front
1784205727404,Front
1784205727437,Front
1784205727470,Front
1784205727504,Front
1784205727537,Front
1784205726582,Back
1784205726615,Back
1784205726648,Back
1784205726682,Back
1784205726715,Back
1784205726748,Back
1784205726782,Back
1784205726815,Back
1784205726848,Back
1784205726882,Back
1784205726915,Back
1784205726948,Back
1784205726982,Back
1784205727015,Back
1784205727048,Back
1784205727082,Back
1784205727115,Back
1784205727148,Back
1784205727182,Back
1784205727215,Back
1784205727248,Back
1784205727282,Back
1784205727315,Back
1784205727348,Back
1784205727382,Back
1784205727415,Back
1784205727449,Back
1784205727482,Back
1784205727515,Back
1784205727549,Back
1784205727570,Front
1784205727604,Front
1784205727637,Front
1784205727670,Front
1784205727704,Front
1784205727737,Front
1784205727770,Front
1784205727804,Front
1784205727837,Front
1784205727870,Front
1784205727904,Front
1784205727937,Front
1784205727970,Front
1784205728004,Front
1784205728037,Front
1784205728070,Front
1784205728104,Front
1784205728137,Front
1784205728170,Front
1784205728204,Front
1784205728237,Front
1784205728270,Front
1784205728304,Front
1784205728337,Front
1784205728370,Front
1784205728404,Front
1784205728437,Front
1784205728470,Front
1784205728504,Front
1784205728537,Front
1784205727582,Back
1784205727615,Back
1784205727649,Back
1784205727682,Back
1784205727715,Back
1784205727749,Back
1784205727782,Back
1784205727815,Back
1784205727849,Back
1784205727882,Back
1784205727915,Back
1784205727949,Back
1784205727982,Back
1784205728015,Back
1784205728049,Back
1784205728082,Back
1784205728115,Back
1784205728149,Back
1784205728182,Back
1784205728215,Back
1784205728249,Back
1784205728282,Back
1784205728316,Back
1784205728349,Back
1784205728382,Back
1784205728416,Back
1784205728449,Back
1784205728482,Back
1784205728516,Back
1784205728549,Back
