Timestamp,Source
1784234002152,Front
1784234002185,Front
1784234002218,Front
1784234002252,Front
1784234002285,Front
1784234002318,Front
1784234002352,Front
1784234002385,Front
1784234002418,Front
1784234002452,Front
1784234002485,Front
1784234002518,Front
1784234002552,Front
1784234002585,Front
1784234002619,Front
1784234002652,Front
1784234002685,Front
1784234002719,Front
1784234002752,Front
1784234002785,Front
1784234002819,Front
1784234002852,Front
1784234001880,Back
1784234001913,Back
1784234001947,Back
1784234001980,Back
1784234002013,Back
1784234002047,Back
1784234002080,Back
1784234002113,Back
1784234002147,Back
1784234002180,Back
1784234002213,Back
1784234002247,Back
1784234002280,Back
1784234002313,Back
1784234002347,Back
1784234002380,Back
1784234002413,Back
1784234002447,Back
1784234002480,Back
1784234002513,Back
1784234002547,Back
1784234002580,Back
1784234002613,Back
1784234002647,Back
1784234002680,Back
1784234002713,Back
1784234002747,Back
1784234002780,Back
1784234002813,Back
1784234002847,Back
1784234002885,Front
1784234002919,Front
1784234002952,Front
1784234002985,Front
1784234003019,Front
1784234003052,Front
1784234003085,Front
1784234003119,Front
1784234003152,Front
1784234003185,Front
1784234003219,Front
1784234003252,Front
1784234003285,Front
1784234003319,Front
1784234003352,Front
1784234003385,Front
1784234003419,Front
1784234003452,Front
1784234003485,Front
1784234003519,Front
1784234003552,Front
1784234003585,Front
1784234003619,Front
1784234003652,Front
1784234003685,Front
1784234003719,Front
1784234003752,Front
1784234003785,Front
1784234003819,Front
1784234003852,Front
1784234002880,Back
1784234002913,Back
1784234002947,Back
1784234002980,Back
1784234003013,Back
1784234003047,Back
1784234003080,Back
1784234003113,Back
1784234003147,Back
1784234003180,Back
1784234003213,Back
1784234003247,Back
1784234003280,Back
1784234003313,Back
1784234003347,Back
1784234003380,Back
1784234003413,Back
1784234003447,Back
1784234003480,Back
1784234003513,Back
1784234003547,Back
1784234003580,Back
1784234003613,Back
1784234003647,Back
1784234003680,Back
1784234003713,Back
1784234003747,Back
1784234003780,Back
1784234003813,Back
1784234003847,Back
1784234003885,Front
1784234003919,Front
1784234003952,Front
1784234003985,Front
1784234004019,Front
1784234004052,Front
1784234004085,Front
1784234004119,Front
1784234004152,Front
1784234004185,Front
1784234004219,Front
1784234004252,Front
1784234004285,Front
1784234004319,Front
1784234004352,Front
1784234004385,Front
1784234004419,Front
1784234004452,Front
1784234004485,Front
1784234004519,Front
