Timestamp_unix_ms,Lat,Long,Speed_m_s,Course_deg,CourseAccuracy_deg,HorizontalAccuracy_m,VerticalAccuracy_m,is_interpolated,quality_flag
1784233996896,-38.008790016209716,-57.548724263960075,0.8899999856948853,45.703125,39.881918526000504,15.048047702908145,32,0,OK
1784233997546,-38.00878008365446,-57.54874639218445,1.440000057220459,47.4609375,38.05802920626991,14,24,0,OK
1784233999002,-38.00875908698701,-57.54876659257109,1.0499999523162842,18.28125,55.649352168366995,14,16,0,OK
1784234000002,-38.008740437252456,-57.54878754732902,1.399999976158142,2.109375,51.6157293125026,14,12,0,OK
1784234001002,-38.00872174560838,-57.548801880383444,1.399999976158142,6.328125,49.6516025487333,14,12,0,OK
1784234002002,-38.00870255105012,-57.54881503997142,1.399999976158142,2.4609375,53.16153089527072,7.749217600993559,12,0,OK
1784234003002,-38.00869043920004,-57.548834653624844,0.9800000190734863,349.1015625,60.815034482931395,7.791767084682868,12,0,OK
1784234003997,-38.008680339006716,-57.54886072134371,1.7000000476837158,318.1640625,47.77707079140164,8.167572484322681,12,0,OK
1784234004997,-38.00867229237967,-57.54889022564287,1.4199999570846558,297.0703125,49.22613298986028,14,8,0,OK
1784234005997,-38.008667305147284,-57.548916293361735,1.4199999570846558,295.6640625,51.2534390034522,14,8,0,OK
1784234006997,-38.008661940729255,-57.54894160670931,1.4199999570846558,297.421875,51.63446793649054,7.52272276596529,8,0,OK
1784234007997,-38.00865335648385,-57.54894848567936,1.340000033378601,299.53125,51.424244959121296,6.149818624938082,8,0,OK
1784234008997,-38.00864975288488,-57.54897479767952,1.3799999952316284,300.5859375,48.189108783271834,5.172535412522193,6,0,OK
1784234009998,-38.008643356449056,-57.54898983734293,1.340000033378601,311.1328125,58.6594199506862,5.779816509639752,6,0,OK
1784234010998,-38.00863515695477,-57.54900517811688,1.3400000333785715,311.13281957637287,71.95811917541124,4.86836147127838,5.999999999999939,0,OK
1784234011998,-38.008627144371964,-57.54901525923434,1.2000000476836945,314.64844348595705,81.02846845413903,5.0308984948096676,5.9999999999999485,0,OK
1784234012998,-38.00861985612676,-57.549027533885976,1.169999957084636,317.8125055090434,94.18694213573997,5.714684046507975,5.9999999999999565,0,OK
1784234013998,-38.00861360866525,-57.54904452131116,1.3300000429153152,310.07813213527453,73.10839313626587,5.584507519365419,5.999999999999932,0,OK
1784234014998,-38.00861276451561,-57.54906143943602,1.169999957084636,306.2109441190653,75.48806543523541,5.805168638908382,5.999999999999949,0,OK
1784234015998,-38.008610018965484,-57.549081866616106,1.3300000429153154,301.99219540884684,71.88991386510689,5.550028983878651,5.999999999999926,0,OK
1784234016998,-38.00860830715275,-57.549103520844376,1.299999952316257,298.8281329852587,72.92562160872653,5.290284200510584,5.9999999999999245,0,OK
1784234017998,-38.008609141837276,-57.5491282810277,1.409999966621364,293.9062590382114,64.36304056975744,5.0634720467305545,5.999999999999905,0,OK
1784234018999,-38.00861130462077,-57.54914577054502,1.299999952316257,284.7656338141069,55.47333723864465,5.1040156995963155,5.999999999999919,0,OK
