Timestamp_unix_ms,Lat,Long,Speed_m_s,Course_deg,CourseAccuracy_deg,HorizontalAccuracy_m,VerticalAccuracy_m,is_interpolated,quality_flag
1784205721614,-38.00971186765088,-57.54901380856917,-1,-1,-1,25.19608786582363,30,0,LOW_ACCURACY
1784205723441,-38.00956940747612,-57.54894227726157,1.2000000476837158,291.796875,28.986035346875568,19.32769836260548,24,0,OK
1784205724003,-38.00956701863372,-57.54894965333636,1.2100000381469727,292.1484375,44.92625911486504,19.350750883068038,24,0,OK
1784205725003,-38.009585668368274,-57.54895870579178,1.2000000476837158,307.265625,48.31032415047205,10.170799775819058,16,0,OK
1784205726003,-38.00959291871452,-57.54896180709596,1.1699999570846558,304.453125,57.70048871197309,7.4211527554858705,12,0,OK
1784205727003,-38.009588895400995,-57.54897069191332,1.1699999570846558,307.6171875,35.5098563816674,6.64761326162183,12,0,OK
1784205728003,-38.00959438554757,-57.54897890617843,1.0499999523162842,310.4296875,48.641923004487,5.4362634970051955,8,0,OK
1784205729000,-38.00961697477662,-57.548976894521665,0,310.4296875,48.641923004487,4.640132153688927,8,0,OK
1784205730000,-38.009629673359925,-57.548973877036524,0,310.4296875,48.641923004487,4.368840501113635,6,0,OK
1784205731000,-38.00963600169682,-57.548972452112984,0,310.4296875,48.641923004487,4.066517950292436,6,0,OK
1784205732000,-38.00963914491051,-57.5489716977417,0,310.4296875,48.641923004487,3.982976607095324,6,0,OK
1784205733000,-38.009640695562595,-57.54897136246557,0,310.4296875,48.641923004487,3.9932045256815214,6,0,OK
1784205734000,-38.00964026888696,-57.54897457175194,0,310.4296875,48.641923004487,3.9335332975079793,6,0,OK
1784205735000,-38.00964086453206,-57.54897420830493,0,310.4296875,48.641923004487,3.9525816146690103,6,0,OK
1784205736000,-38.00964127781884,-57.548973073144396,0,-1,-1,3.312635106725981,7.191580600355301,0,OK
1784205737000,-38.009640528908044,-57.54897588394552,0,-1,-1,3.5395810649708968,6.800728257613107,0,OK
1784205738000,-38.00963993626862,-57.548977203402295,0,-1,-1,3.6561541582835675,6.920110871545737,0,OK
1784205739000,-38.00964111735536,-57.54897633566323,0,-1,-1,4.0566610646853904,6.891125393007339,0,OK
1784205740000,-38.009640630513914,-57.548977150934846,0,-1,-1,3.9145277550050785,6.677758909790057,0,OK
1784205741000,-38.009639240200514,-57.54898681441515,0,-1,-1,3.8447135958527454,7.014554252699639,0,OK
1784205742000,-38.00963410730922,-57.54900200789329,0.5199999809265119,305.1562529809224,135.56686639847854,3.81006397960194,7.3058691871627115,0,OK
1784205743000,-38.00962587913813,-57.54902170835565,1.3500000238418277,306.21094513769674,46.216235601712164,3.7913003444071167,9.0901446516993,0,OK
1784205744000,-38.0096114070841,-57.54905059500468,1.5299999713897265,312.89063286001993,45.015817912288185,4.748651530192123,8.414937002639647,0,OK
1784205745000,-38.00959930600281,-57.549069715210365,1.529999971389726,316.7578198496951,63.55174367773592,4.78606046921749,7.999999999999811,0,OK
1784205746000,-38.00958841948764,-57.54909324852029,1.6399999856948309,312.53907097301175,62.25357949391002,5.127697886062745,7.99999999999979,0,OK
1784205747000,-38.00956194118566,-57.54913093037137,2.8699998855587907,313.9453269893759,35.57347510471407,5.108120915782505,7.999999999999353,0,OK
1784205748000,-38.00955078648166,-57.549160195259155,2.8699998855587907,309.726577977478,44.329806015404486,4.970088501481747,7.9999999999993445,0,OK
1784205749000,-38.0095552227345,-57.549169283460415,1.3400000333785715,310.078132189448,56.59764197235291,4.7486515301919034,6.469611126840404,0,OK
1784205750000,-38.009561326805375,-57.549193959236014,0.9800000190734746,292.8515688322998,90.95032193539112,4.748651530191856,7.037511385290261,0,OK
1784205751000,-38.00957171474442,-57.54921888641995,0.7200000286102248,277.0312550105853,82.153862731354,4.748651530191821,7.455411104191478,0,OK
1784205752000,-38.00959166142919,-57.54924846818443,0,-1,-1,4.748651530191761,6.9093219359922635,0,OK
1784205753000,-38.009602129360275,-57.54928202909857,0.7200000286102249,275.2734425271829,88.90623510253334,4.748651530191811,6.966944185680828,0,OK
1784205754000,-38.00960160726977,-57.54931189645433,0.9999999999999878,288.63281914436186,59.15078351701268,4.748651530191852,6.792321874879183,0,OK
1784205755000,-38.00959382861899,-57.54934241022998,1.7300000190734228,299.88282301774836,34.191203968134054,4.748651530192036,6.84021159361042,0,OK
1784205756000,-38.0096090778968,-57.54951925864486,0.34453760259846433,-1,-1,7.1400236363138,3,0,OK
1784205757000,-38.00960246371455,-57.54954488062705,1.1908025260691404,290.09565219371194,87.88881211920035,4.02739145726115,3,0,OK
1784205758000,-38.00959727261038,-57.54955235810901,1.2279602719786218,290.95390480751337,86.10656621063988,4.718906431860203,3,0,OK
1784205759001,-38.00959628540971,-57.54956571151367,1.248293019362234,288.558316622494,84.58769448754366,6.029247847630756,3,0,OK
1784205760001,-38.009602105146364,-57.549572342544955,0.9572137179088924,271.0014751754902,110.30844779482294,7.396906556914537,3,0,OK
1784205761001,-38.00959554968081,-57.549579917875036,0.8815295106085742,302.6532118498069,126.17547974804397,7.538642934893051,3,0,OK
1784205762001,-38.00959714670773,-57.549587512032666,1.0629363480447707,257.819377554396,101.25334002041865,7.34618316709979,3,0,OK
1784205763001,-38.009597768779145,-57.54957815582905,0.9728833621727521,266.87442407587434,85.12453911556862,8.475730813240933,3.321492294093074,0,OK
1784205764001,-38.00960641089501,-57.549577598443946,0.7584381055115988,245.75509605825627,102.96274925230341,8.705986579581657,3.2175035452958487,0,OK
1784205765001,-38.00961692651563,-57.549587072641366,0.987628880094998,238.6425550560919,76.85094164058337,8.281290661245283,3.1008406676517133,0,OK
